epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1457,0.81173,4.48198,0.99702,0.01639,0.24032,0.0154,0.01371,0.8289,4.16065,0.88213,5.5979e-05,5.5979e-05,5.5979e-05
2,86.7504,0.80979,3.95887,0.97128,0.01344,0.47814,0.01935,0.01621,0.88524,3.64473,0.93305,0.000101193,0.000101193,0.000101193
3,127.988,0.85543,3.61231,0.98719,0.32513,0.12539,0.02121,0.01711,0.9059,3.39249,0.95441,0.000135254,0.000135254,0.000135254
4,169.006,0.84914,3.37453,0.98839,0.52558,0.06591,0.02131,0.01687,0.88803,3.23067,0.9562,0.000118807,0.000118807,0.000118807
5,209.982,0.83534,3.21499,0.9839,0.56655,0.06718,0.02824,0.02359,0.86909,3.12128,0.96063,0.000102076,0.000102076,0.000102076
6,251.099,0.81429,3.08173,0.97776,0.53938,0.08235,0.03434,0.02835,0.84226,3.01982,0.94233,8.5345e-05,8.5345e-05,8.5345e-05
7,291.501,0.80455,2.99849,0.9786,0.49948,0.08812,0.03375,0.0278,0.83143,2.95612,0.94898,6.8614e-05,6.8614e-05,6.8614e-05
8,332.83,0.78987,2.93885,0.97121,0.52277,0.09781,0.04079,0.03444,0.828,2.88772,0.94471,5.1883e-05,5.1883e-05,5.1883e-05
9,373.885,0.77748,2.89316,0.97428,0.55173,0.09945,0.04453,0.03821,0.82614,2.85524,0.94845,3.5152e-05,3.5152e-05,3.5152e-05
10,414.886,0.7718,2.87079,0.96468,0.55199,0.08982,0.04779,0.04104,0.81801,2.84043,0.93986,1.8421e-05,1.8421e-05,1.8421e-05
