epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.1026,0.75871,2.47356,1.06969,0.75351,0.36633,0.45225,0.38481,0.69027,1.65664,0.97288,0.000301557,0.000301557,0.000301557
2,172.115,0.7533,1.60001,1.06437,0.74744,0.45455,0.55765,0.46681,0.71454,1.40913,0.96255,0.000564656,0.000564656,0.000564656
3,248.691,0.72418,1.36649,1.04604,0.67567,0.53546,0.60891,0.50536,0.71591,1.27765,0.95828,0.00078776,0.00078776,0.00078776
4,331.587,0.71238,1.25246,1.0331,0.81289,0.55742,0.66895,0.5631,0.68439,1.19575,0.95356,0.000729018,0.000729018,0.000729018
5,411.092,0.68895,1.13869,1.02157,0.8358,0.61513,0.69338,0.58957,0.63651,0.96239,0.9342,0.000669024,0.000669024,0.000669024
6,488.848,0.6001,1.02499,0.95042,0.84598,0.63688,0.73449,0.61679,0.63993,0.90571,0.92479,0.00060903,0.00060903,0.00060903
7,568.236,0.5734,0.89425,0.93617,0.83398,0.62485,0.72886,0.61213,0.6473,0.89353,0.93803,0.000549036,0.000549036,0.000549036
8,656.174,0.54891,0.80468,0.93162,0.90462,0.63749,0.74794,0.62992,0.60893,0.76234,0.91312,0.000489042,0.000489042,0.000489042
9,737.05,0.5445,0.73023,0.92351,0.85542,0.69565,0.7801,0.65857,0.60373,0.70118,0.91407,0.000429048,0.000429048,0.000429048
10,818.539,0.52148,0.6826,0.91627,0.87864,0.70845,0.80958,0.66729,0.61023,0.63819,0.91601,0.000369054,0.000369054,0.000369054
11,896.718,0.50295,0.60071,0.90918,0.89508,0.69042,0.80406,0.67636,0.5945,0.62811,0.90514,0.00030906,0.00030906,0.00030906
12,973.852,0.49174,0.56184,0.89826,0.91447,0.70067,0.8128,0.687,0.57728,0.57268,0.90227,0.000249066,0.000249066,0.000249066
13,1053.23,0.47286,0.52477,0.89371,0.86037,0.74428,0.81628,0.69659,0.56535,0.56001,0.89733,0.000189072,0.000189072,0.000189072
14,1131.79,0.46607,0.49796,0.89306,0.91668,0.7201,0.82951,0.70459,0.55507,0.5418,0.89435,0.000129078,0.000129078,0.000129078
15,1206.09,0.45447,0.46775,0.88911,0.90895,0.73737,0.83158,0.71016,0.54274,0.5203,0.89101,6.9084e-05,6.9084e-05,6.9084e-05
