epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0036,0.98496,5.13054,1.15655,0.00474,0.03074,0.00378,0.00348,0.84114,4.77613,0.90102,2.5175e-05,2.5175e-05,2.5175e-05
2,124.807,0.88951,4.71964,1.06275,0.00447,0.10445,0.00427,0.00336,0.87358,4.41444,0.91988,4.85082e-05,4.85082e-05,4.85082e-05
3,182.675,0.91142,4.27945,1.05665,0.00499,0.13766,0.0056,0.00437,0.89753,4.02278,0.92692,6.9835e-05,6.9835e-05,6.9835e-05
4,239.852,0.92612,3.95725,1.06967,0.34514,0.05924,0.0064,0.00495,0.91344,3.80603,0.93348,6.69712e-05,6.69712e-05,6.69712e-05
5,296.952,0.91945,3.75815,1.07323,0.38861,0.038,0.00682,0.00517,0.89115,3.65025,0.94544,6.39616e-05,6.39616e-05,6.39616e-05
6,353.695,0.91576,3.60388,1.08162,0.37805,0.0579,0.00737,0.00555,0.87392,3.51485,0.94264,6.0952e-05,6.0952e-05,6.0952e-05
7,410.28,0.8936,3.46875,1.07625,0.41829,0.0327,0.00922,0.00724,0.85571,3.39516,0.94998,5.79424e-05,5.79424e-05,5.79424e-05
8,467.27,0.88756,3.38212,1.07688,0.44483,0.03747,0.00894,0.00693,0.84656,3.32117,0.94818,5.49328e-05,5.49328e-05,5.49328e-05
9,525.011,0.88602,3.29474,1.0792,0.50197,0.03916,0.0094,0.00745,0.84339,3.23294,0.95622,5.19232e-05,5.19232e-05,5.19232e-05
10,582.571,0.86381,3.2171,1.0768,0.527,0.03607,0.01055,0.00837,0.82878,3.17157,0.94818,4.89136e-05,4.89136e-05,4.89136e-05
11,640.217,0.85232,3.19801,1.07466,0.5266,0.03426,0.01005,0.00792,0.81315,3.11835,0.95002,4.5904e-05,4.5904e-05,4.5904e-05
12,698.075,0.84256,3.12052,1.06746,0.53438,0.03641,0.01114,0.00875,0.8102,3.07157,0.94302,4.28944e-05,4.28944e-05,4.28944e-05
13,755.518,0.83802,3.09819,1.06888,0.5685,0.03571,0.01218,0.0098,0.79897,3.02425,0.94068,3.98848e-05,3.98848e-05,3.98848e-05
14,813.009,0.81533,3.01521,1.05431,0.55832,0.0369,0.01305,0.01052,0.78801,2.98138,0.94113,3.68752e-05,3.68752e-05,3.68752e-05
15,871.072,0.81379,2.99813,1.05494,0.57724,0.03517,0.01344,0.01104,0.7846,2.95535,0.93861,3.38656e-05,3.38656e-05,3.38656e-05
16,930.335,0.77206,3.04498,0.99141,0.59739,0.04255,0.01556,0.01289,0.75561,2.8426,0.92473,3.0856e-05,3.0856e-05,3.0856e-05
17,988.7,0.75136,2.88792,0.96892,0.63814,0.04062,0.01647,0.01368,0.75969,2.81445,0.9161,2.78464e-05,2.78464e-05,2.78464e-05
18,1046.5,0.73646,2.83735,0.95738,0.66083,0.04511,0.01966,0.01686,0.74513,2.77414,0.91295,2.48368e-05,2.48368e-05,2.48368e-05
19,1104.53,0.73372,2.81145,0.95879,0.64938,0.04677,0.02369,0.02055,0.74538,2.74898,0.90629,2.18272e-05,2.18272e-05,2.18272e-05
20,1162.27,0.72189,2.78634,0.95157,0.6645,0.04922,0.02506,0.02201,0.73914,2.72958,0.90601,1.88176e-05,1.88176e-05,1.88176e-05
21,1220.07,0.73678,2.7718,0.95488,0.70612,0.05222,0.02734,0.02403,0.73897,2.70629,0.90478,1.5808e-05,1.5808e-05,1.5808e-05
22,1277.75,0.72246,2.75703,0.95878,0.68982,0.05034,0.03025,0.02669,0.73881,2.69489,0.90432,1.27984e-05,1.27984e-05,1.27984e-05
23,1335.99,0.72544,2.75833,0.95281,0.71264,0.05244,0.03072,0.02704,0.73562,2.68349,0.90246,9.7888e-06,9.7888e-06,9.7888e-06
24,1393.81,0.72202,2.72926,0.95326,0.70896,0.05212,0.03087,0.02727,0.73396,2.67369,0.90225,6.7792e-06,6.7792e-06,6.7792e-06
25,1452.35,0.7191,2.73311,0.94844,0.70847,0.05533,0.03075,0.02715,0.73445,2.66537,0.90079,3.7696e-06,3.7696e-06,3.7696e-06
