epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4,0.73995,2.44293,1.07232,0.3332,0.45231,0.39158,0.32646,0.68609,1.8455,0.95021,0.000301557,0.000301557,0.000301557
2,33.1242,0.72865,1.53024,1.06129,0.59091,0.49705,0.54079,0.44803,0.70588,1.58149,0.96519,0.000592587,0.000592587,0.000592587
3,47.2333,0.7262,1.33396,1.0455,0.77725,0.5481,0.64962,0.54514,0.70186,1.06832,0.95822,0.000871618,0.000871618,0.000871618
4,62.1834,0.71162,1.22726,1.03526,0.83169,0.58542,0.69127,0.58277,0.67211,0.98531,0.94808,0.000855005,0.000855005,0.000855005
5,77.2021,0.70289,1.11715,1.03075,0.78916,0.61669,0.69452,0.59048,0.64011,0.94692,0.93067,0.000837007,0.000837007,0.000837007
6,92.0099,0.67766,1.03384,1.01902,0.84865,0.62771,0.71634,0.60785,0.63271,0.84238,0.92874,0.000819009,0.000819009,0.000819009
7,106.806,0.65337,0.95908,1.00985,0.84197,0.65858,0.74269,0.62829,0.6239,0.78537,0.92337,0.000801011,0.000801011,0.000801011
8,121.364,0.65322,0.91244,1.00552,0.87213,0.65416,0.75999,0.64639,0.61614,0.69394,0.92041,0.000783013,0.000783013,0.000783013
9,136.388,0.63315,0.86992,0.99748,0.86187,0.6483,0.75108,0.63776,0.60996,0.73876,0.91903,0.000765014,0.000765014,0.000765014
10,151.409,0.63322,0.84595,0.99301,0.87347,0.69357,0.77759,0.65735,0.62281,0.64207,0.92491,0.000747016,0.000747016,0.000747016
11,166.129,0.62907,0.81372,0.99423,0.87644,0.68746,0.7819,0.65941,0.60466,0.63957,0.91253,0.000729018,0.000729018,0.000729018
12,181.14,0.60725,0.77564,0.98643,0.90393,0.69053,0.79607,0.67278,0.60526,0.60415,0.91239,0.00071102,0.00071102,0.00071102
13,195.874,0.61195,0.76956,0.98366,0.86959,0.66154,0.76852,0.65885,0.59173,0.66357,0.91524,0.000693022,0.000693022,0.000693022
14,210.213,0.60583,0.75207,0.98618,0.88761,0.68671,0.7953,0.67905,0.58464,0.60011,0.91033,0.000675023,0.000675023,0.000675023
15,224.616,0.58684,0.72333,0.97955,0.91625,0.69231,0.7983,0.67879,0.58486,0.58416,0.91404,0.000657025,0.000657025,0.000657025
16,239.166,0.58273,0.69302,0.97728,0.93254,0.6763,0.79588,0.67411,0.60044,0.58889,0.91493,0.000639027,0.000639027,0.000639027
17,253.973,0.58386,0.6865,0.97614,0.89837,0.71376,0.79821,0.6813,0.57985,0.56603,0.91513,0.000621029,0.000621029,0.000621029
18,268.741,0.57851,0.67081,0.97104,0.93037,0.678,0.79902,0.67675,0.58669,0.57085,0.91312,0.000603031,0.000603031,0.000603031
19,283.363,0.56922,0.67004,0.96903,0.88655,0.71975,0.80566,0.6845,0.57804,0.55503,0.90606,0.000585032,0.000585032,0.000585032
20,298.188,0.57553,0.6551,0.97085,0.90454,0.71601,0.8139,0.69098,0.57169,0.53501,0.90453,0.000567034,0.000567034,0.000567034
21,312.962,0.57605,0.65226,0.96884,0.88919,0.71867,0.80413,0.68666,0.57015,0.54616,0.90741,0.000549036,0.000549036,0.000549036
22,327.653,0.56389,0.63226,0.96589,0.90024,0.72098,0.80988,0.69733,0.55775,0.52814,0.89842,0.000531038,0.000531038,0.000531038
23,343.318,0.5626,0.63051,0.9677,0.93207,0.69208,0.81156,0.69216,0.56164,0.52215,0.90401,0.00051304,0.00051304,0.00051304
24,358.585,0.55303,0.61409,0.96045,0.89726,0.73621,0.81796,0.70046,0.56072,0.50325,0.89962,0.000495041,0.000495041,0.000495041
25,373.298,0.54655,0.59428,0.95724,0.90547,0.71677,0.81751,0.70109,0.55206,0.50664,0.90209,0.000477043,0.000477043,0.000477043
26,388.343,0.55606,0.60305,0.95865,0.91146,0.73124,0.82318,0.71091,0.55142,0.49168,0.89865,0.000459045,0.000459045,0.000459045
27,412.952,0.54496,0.58059,0.95467,0.87551,0.74995,0.82584,0.71445,0.54314,0.49196,0.89692,0.000441047,0.000441047,0.000441047
28,431.54,0.54205,0.57387,0.95558,0.91301,0.73283,0.82811,0.70483,0.56083,0.49883,0.89914,0.000423049,0.000423049,0.000423049
29,446.358,0.53576,0.55974,0.95056,0.90544,0.73517,0.82712,0.71195,0.54714,0.5006,0.89896,0.00040505,0.00040505,0.00040505
30,460.896,0.53494,0.54949,0.95142,0.91486,0.73397,0.83423,0.71987,0.5425,0.47272,0.89287,0.000387052,0.000387052,0.000387052
31,475.677,0.52162,0.545,0.94601,0.90555,0.73792,0.82997,0.7186,0.53783,0.4736,0.89428,0.000369054,0.000369054,0.000369054
32,490.607,0.5314,0.54944,0.9536,0.89511,0.74565,0.83288,0.71786,0.5403,0.47649,0.89327,0.000351056,0.000351056,0.000351056
