epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9356,0.70419,2.51581,1.1287,0.56249,0.531,0.53405,0.45122,0.71205,1.51718,1.1186,0.000301557,0.000301557,0.000301557
2,56.2843,0.69694,1.62583,1.11194,0.60903,0.4334,0.52122,0.42756,0.72359,1.63759,1.15586,0.000592587,0.000592587,0.000592587
3,82.145,0.70859,1.37868,1.1077,0.81874,0.49807,0.62113,0.51987,0.71429,1.27426,1.1029,0.000871618,0.000871618,0.000871618
4,107.917,0.70866,1.23908,1.10614,0.81521,0.57777,0.68511,0.58103,0.67278,1.07476,1.09133,0.000855005,0.000855005,0.000855005
5,133.449,0.68592,1.10985,1.09625,0.86117,0.59703,0.71145,0.6032,0.66707,0.99221,1.08496,0.000837007,0.000837007,0.000837007
6,159.089,0.67103,1.02788,1.08966,0.8334,0.59372,0.71093,0.61277,0.62943,1.00689,1.05428,0.000819009,0.000819009,0.000819009
7,184.72,0.64318,0.92978,1.07165,0.87171,0.63471,0.73329,0.62288,0.62892,0.91762,1.04488,0.000801011,0.000801011,0.000801011
8,210.334,0.63867,0.88348,1.06782,0.83284,0.65106,0.74514,0.63403,0.63419,0.82803,1.04916,0.000783013,0.000783013,0.000783013
9,235.874,0.62168,0.83876,1.05833,0.90262,0.65231,0.76575,0.65705,0.6118,0.81877,1.03949,0.000765014,0.000765014,0.000765014
10,261.373,0.62224,0.828,1.05517,0.89576,0.67154,0.78426,0.66756,0.62088,0.75987,1.04862,0.000747016,0.000747016,0.000747016
11,287.087,0.61825,0.78858,1.05401,0.8986,0.65131,0.76679,0.65961,0.61376,0.7642,1.04275,0.000729018,0.000729018,0.000729018
12,312.54,0.60073,0.74745,1.04768,0.86809,0.67216,0.775,0.67314,0.59045,0.73577,1.02504,0.00071102,0.00071102,0.00071102
