epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6849,0.67086,2.39311,0.95224,0.40313,0.44686,0.39694,0.33206,0.7306,1.73013,0.94219,0.000301557,0.000301557,0.000301557
2,102.667,0.67262,1.50699,0.95455,0.6378,0.46487,0.51818,0.42461,0.75338,1.47307,0.9464,0.000544706,0.000544706,0.000544706
3,149.919,0.66234,1.26925,0.94816,0.76754,0.52047,0.59816,0.4961,0.73582,1.19247,0.95218,0.000727861,0.000727861,0.000727861
4,197.341,0.64381,1.12441,0.9431,0.75217,0.56023,0.63353,0.5248,0.68132,1.06013,0.94069,0.000639027,0.000639027,0.000639027
5,249.058,0.60703,1.00543,0.93311,0.8322,0.58209,0.68398,0.57226,0.64351,0.92479,0.92019,0.000549036,0.000549036,0.000549036
6,295.647,0.57089,0.89076,0.91857,0.90869,0.5975,0.72323,0.6093,0.6045,0.78651,0.91207,0.000459045,0.000459045,0.000459045
7,344.952,0.55641,0.79507,0.91525,0.86383,0.63031,0.74137,0.61662,0.60217,0.76657,0.91316,0.000369054,0.000369054,0.000369054
8,396.94,0.52405,0.70771,0.90947,0.88419,0.65705,0.76323,0.638,0.57877,0.6711,0.90353,0.000279063,0.000279063,0.000279063
9,444.225,0.50054,0.64821,0.89746,0.89108,0.67014,0.77197,0.65316,0.55245,0.61885,0.89222,0.000189072,0.000189072,0.000189072
10,490.79,0.4924,0.60222,0.89652,0.89605,0.69281,0.7757,0.65968,0.54857,0.5861,0.88881,9.9081e-05,9.9081e-05,9.9081e-05
