epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.087,0.83387,2.6622,1.08276,0.33778,0.30194,0.29073,0.23965,0.72665,1.86355,0.9648,0.000301557,0.000301557,0.000301557
2,288.447,0.80062,1.72968,1.0684,0.56752,0.38926,0.44684,0.37138,0.71335,1.48479,0.96607,0.000592587,0.000592587,0.000592587
3,427.994,0.74652,1.44264,1.03224,0.70762,0.49441,0.55888,0.47192,0.68825,1.21002,0.96803,0.000871618,0.000871618,0.000871618
4,568.001,0.74403,1.29617,1.03573,0.69459,0.52032,0.57472,0.48392,0.67988,1.26355,0.96275,0.000855005,0.000855005,0.000855005
5,707.81,0.72721,1.18728,1.0254,0.75135,0.57354,0.64325,0.54726,0.63782,0.92699,0.96256,0.000837007,0.000837007,0.000837007
6,847.618,0.69915,1.11107,1.01961,0.83111,0.55409,0.65592,0.55849,0.63901,0.93205,0.9638,0.000819009,0.000819009,0.000819009
7,987.666,0.68118,1.05089,1.01067,0.80528,0.55267,0.66082,0.55625,0.64632,0.99254,0.96517,0.000801011,0.000801011,0.000801011
8,1127.21,0.68022,0.99015,1.01291,0.75894,0.57574,0.65642,0.56516,0.61956,0.88114,0.95641,0.000783013,0.000783013,0.000783013
9,1266.76,0.65936,0.95098,0.99952,0.87476,0.60371,0.71002,0.60307,0.61254,0.70086,0.94889,0.000765014,0.000765014,0.000765014
10,1406.11,0.63922,0.89441,0.99941,0.88281,0.62145,0.71938,0.60791,0.59067,0.657,0.94696,0.000747016,0.000747016,0.000747016
11,1545.73,0.63723,0.86112,0.99424,0.80242,0.61209,0.71192,0.6034,0.59945,0.75234,0.94655,0.000729018,0.000729018,0.000729018
12,1685.22,0.63781,0.85661,0.99434,0.85831,0.65133,0.73969,0.62387,0.60023,0.62213,0.94773,0.00071102,0.00071102,0.00071102
13,1824.92,0.63574,0.82169,0.99051,0.90396,0.6476,0.74917,0.63085,0.59404,0.58848,0.94515,0.000693022,0.000693022,0.000693022
14,1964.43,0.63387,0.81432,0.99499,0.82891,0.66421,0.74343,0.62053,0.58997,0.6218,0.93763,0.000675023,0.000675023,0.000675023
15,2103.04,0.6072,0.7849,0.98566,0.91155,0.63776,0.74451,0.63512,0.57038,0.57149,0.93418,0.000657025,0.000657025,0.000657025
16,2242.38,0.61531,0.76811,0.9839,0.87828,0.62024,0.7379,0.62427,0.57998,0.625,0.93646,0.000639027,0.000639027,0.000639027
17,2381.84,0.60659,0.75033,0.97944,0.84249,0.67505,0.75464,0.63839,0.58666,0.58766,0.93872,0.000621029,0.000621029,0.000621029
18,2521.02,0.60317,0.73048,0.9803,0.88054,0.68878,0.76327,0.64613,0.57257,0.51921,0.93898,0.000603031,0.000603031,0.000603031
19,2660.43,0.59768,0.72892,0.97917,0.88154,0.6732,0.76287,0.64321,0.59046,0.52261,0.94217,0.000585032,0.000585032,0.000585032
20,2803.26,0.59146,0.70785,0.97632,0.88346,0.66711,0.76461,0.64552,0.5769,0.51167,0.93348,0.000567034,0.000567034,0.000567034
21,2944.35,0.58,0.6861,0.97078,0.90891,0.66591,0.76851,0.65272,0.56319,0.5084,0.93304,0.000549036,0.000549036,0.000549036
22,3085.56,0.58403,0.68209,0.97356,0.87017,0.69036,0.77371,0.65943,0.55053,0.50051,0.92583,0.000531038,0.000531038,0.000531038
23,3226.68,0.5877,0.66094,0.97512,0.90112,0.6851,0.77173,0.65517,0.56938,0.50438,0.93288,0.00051304,0.00051304,0.00051304
24,3367.87,0.58399,0.66305,0.9735,0.8652,0.69795,0.77685,0.66427,0.55467,0.47873,0.92979,0.000495041,0.000495041,0.000495041
