epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2529,0.73995,2.44293,1.07232,0.3332,0.45231,0.39158,0.32646,0.68609,1.8455,0.95021,0.000301557,0.000301557,0.000301557
2,33.2957,0.7284,1.52411,1.06207,0.76072,0.52623,0.62635,0.51837,0.70772,1.25801,0.95759,0.000598572,0.000598572,0.000598572
3,47.6594,0.73026,1.32935,1.04442,0.78931,0.53433,0.62751,0.50721,0.77957,1.1525,0.97793,0.000889588,0.000889588,0.000889588
4,61.8071,0.72616,1.23621,1.04136,0.81518,0.59617,0.70375,0.59301,0.64868,0.91487,0.93255,0.000882003,0.000882003,0.000882003
5,76.2313,0.70606,1.11819,1.03475,0.83622,0.61306,0.71719,0.60856,0.64069,0.8977,0.93383,0.000873004,0.000873004,0.000873004
6,90.3897,0.67947,1.05087,1.01939,0.70486,0.60406,0.6723,0.56125,0.65158,1.19679,0.93032,0.000864004,0.000864004,0.000864004
7,104.495,0.65828,0.974,1.01161,0.7681,0.61757,0.69801,0.58988,0.62953,0.92295,0.9298,0.000855005,0.000855005,0.000855005
8,118.552,0.65275,0.92321,1.00459,0.86888,0.66945,0.76716,0.64388,0.626,0.70947,0.92666,0.000846006,0.000846006,0.000846006
9,132.884,0.64667,0.88718,1.00006,0.85079,0.68947,0.76585,0.64483,0.62991,0.69218,0.92458,0.000837007,0.000837007,0.000837007
10,147.058,0.6419,0.87019,0.99451,0.84692,0.67707,0.76153,0.65246,0.61224,0.68082,0.92053,0.000828008,0.000828008,0.000828008
11,161.162,0.63542,0.83173,0.99587,0.86472,0.67838,0.77165,0.65052,0.61685,0.65909,0.91806,0.000819009,0.000819009,0.000819009
12,175.591,0.61413,0.79712,0.98868,0.9062,0.69162,0.78886,0.66684,0.59826,0.60949,0.91172,0.00081001,0.00081001,0.00081001
13,189.518,0.62139,0.794,0.98782,0.88286,0.67087,0.7671,0.65925,0.59767,0.66832,0.92456,0.000801011,0.000801011,0.000801011
14,203.562,0.61518,0.7677,0.98573,0.86417,0.68614,0.78784,0.66786,0.60227,0.64555,0.91665,0.000792012,0.000792012,0.000792012
15,217.761,0.59905,0.74791,0.98291,0.8987,0.70037,0.79132,0.67094,0.58902,0.59151,0.90791,0.000783013,0.000783013,0.000783013
16,231.98,0.59676,0.71504,0.98104,0.88237,0.67025,0.77575,0.65961,0.59212,0.62942,0.90454,0.000774013,0.000774013,0.000774013
17,246.176,0.59957,0.71112,0.9787,0.89334,0.68963,0.79307,0.67407,0.59072,0.58931,0.91557,0.000765014,0.000765014,0.000765014
18,260.15,0.59346,0.69985,0.97646,0.89608,0.69458,0.79622,0.6759,0.58483,0.58594,0.9095,0.000756015,0.000756015,0.000756015
19,274.566,0.58373,0.68938,0.97325,0.8855,0.7151,0.79674,0.6821,0.57908,0.56535,0.90587,0.000747016,0.000747016,0.000747016
20,288.928,0.58844,0.68458,0.97629,0.86858,0.7035,0.79382,0.67214,0.58396,0.60188,0.90991,0.000738017,0.000738017,0.000738017
21,303.198,0.58732,0.68679,0.97659,0.85964,0.71859,0.80366,0.68631,0.56834,0.54672,0.9006,0.000729018,0.000729018,0.000729018
22,317.584,0.57818,0.66966,0.97034,0.88486,0.69199,0.78753,0.67786,0.57074,0.58383,0.90153,0.000720019,0.000720019,0.000720019
23,331.972,0.58209,0.65452,0.96878,0.88297,0.71246,0.80608,0.6884,0.56569,0.53629,0.89841,0.00071102,0.00071102,0.00071102
24,346.277,0.57232,0.64396,0.96252,0.92128,0.70117,0.80859,0.68978,0.57088,0.54234,0.89914,0.000702021,0.000702021,0.000702021
25,360.666,0.5655,0.63239,0.96093,0.89964,0.70921,0.80538,0.68617,0.5787,0.53925,0.90941,0.000693022,0.000693022,0.000693022
26,374.98,0.57591,0.63775,0.96613,0.87433,0.73334,0.81711,0.70475,0.5631,0.51576,0.89781,0.000684022,0.000684022,0.000684022
27,388.942,0.56618,0.62454,0.9605,0.92218,0.7062,0.81902,0.70137,0.55307,0.52527,0.8923,0.000675023,0.000675023,0.000675023
28,403.033,0.57014,0.62098,0.96401,0.91151,0.72865,0.82414,0.70198,0.56577,0.50116,0.90124,0.000666024,0.000666024,0.000666024
29,417.47,0.558,0.61281,0.95949,0.85385,0.74917,0.81906,0.7057,0.55585,0.50199,0.8978,0.000657025,0.000657025,0.000657025
30,432.66,0.55605,0.6024,0.95979,0.89623,0.73609,0.82072,0.70282,0.55667,0.50481,0.89775,0.000648026,0.000648026,0.000648026
31,447.494,0.5469,0.59019,0.95668,0.89128,0.74179,0.82152,0.705,0.55176,0.49483,0.89796,0.000639027,0.000639027,0.000639027
32,462.039,0.56109,0.59824,0.96202,0.88952,0.7329,0.81876,0.70218,0.55265,0.49961,0.899,0.000630028,0.000630028,0.000630028
33,476.124,0.54575,0.56777,0.95451,0.89913,0.73553,0.82288,0.7004,0.55852,0.50101,0.89736,0.000621029,0.000621029,0.000621029
34,490.171,0.54984,0.57598,0.95471,0.88144,0.74191,0.81987,0.70191,0.56639,0.5022,0.90113,0.00061203,0.00061203,0.00061203
35,504.184,0.55098,0.56725,0.95239,0.88781,0.73768,0.82148,0.70536,0.55105,0.49222,0.89982,0.000603031,0.000603031,0.000603031
36,518.351,0.53601,0.55207,0.94801,0.888,0.74068,0.82888,0.71219,0.54448,0.47725,0.89323,0.000594031,0.000594031,0.000594031
37,532.47,0.54481,0.56885,0.95243,0.90347,0.73626,0.82688,0.7108,0.55379,0.48129,0.89907,0.000585032,0.000585032,0.000585032
38,546.499,0.53753,0.55695,0.94988,0.89564,0.74177,0.82689,0.71485,0.54834,0.48571,0.89357,0.000576033,0.000576033,0.000576033
39,560.573,0.53416,0.55819,0.94868,0.92323,0.72647,0.82792,0.71151,0.54844,0.47645,0.89666,0.000567034,0.000567034,0.000567034
40,574.641,0.53669,0.53532,0.9465,0.89714,0.73653,0.82686,0.71458,0.54215,0.47727,0.89172,0.000558035,0.000558035,0.000558035
41,588.811,0.53411,0.55159,0.94852,0.90064,0.7345,0.82342,0.71012,0.53849,0.47918,0.8911,0.000549036,0.000549036,0.000549036
42,602.813,0.53797,0.54029,0.95168,0.92257,0.74035,0.83315,0.71674,0.54375,0.46149,0.89266,0.000540037,0.000540037,0.000540037
43,616.804,0.52474,0.53404,0.94522,0.92188,0.71885,0.82572,0.71785,0.54485,0.47209,0.89401,0.000531038,0.000531038,0.000531038
44,631.078,0.52248,0.52291,0.94609,0.916,0.73086,0.82708,0.71397,0.53667,0.47041,0.893,0.000522039,0.000522039,0.000522039
45,645.441,0.52385,0.52552,0.94396,0.93247,0.72088,0.82859,0.7197,0.53035,0.45754,0.88887,0.00051304,0.00051304,0.00051304
46,659.674,0.52257,0.51637,0.9438,0.89487,0.75573,0.83225,0.72165,0.53557,0.44736,0.89287,0.00050404,0.00050404,0.00050404
47,674.033,0.51958,0.51433,0.94276,0.90567,0.75121,0.83163,0.7187,0.53879,0.4564,0.89602,0.000495041,0.000495041,0.000495041
48,688.507,0.52539,0.51337,0.94431,0.89767,0.73729,0.82379,0.71427,0.54084,0.46774,0.89343,0.000486042,0.000486042,0.000486042
49,702.99,0.51979,0.51473,0.94166,0.90448,0.74773,0.83389,0.7196,0.5403,0.46329,0.88819,0.000477043,0.000477043,0.000477043
50,717.404,0.52128,0.50598,0.94272,0.91758,0.73485,0.8326,0.71902,0.53545,0.45809,0.89132,0.000468044,0.000468044,0.000468044
51,731.469,0.50824,0.49034,0.93959,0.91029,0.75209,0.83848,0.72662,0.52622,0.44394,0.88513,0.000459045,0.000459045,0.000459045
52,745.543,0.51475,0.49588,0.94181,0.93122,0.73233,0.83764,0.72675,0.52575,0.44927,0.8891,0.000450046,0.000450046,0.000450046
53,759.917,0.50764,0.47912,0.93785,0.91016,0.75037,0.83385,0.72887,0.52541,0.45376,0.88754,0.000441047,0.000441047,0.000441047
54,773.91,0.50913,0.49474,0.93981,0.89977,0.75684,0.83847,0.72998,0.52619,0.44365,0.88886,0.000432048,0.000432048,0.000432048
55,787.951,0.51454,0.49073,0.93845,0.89367,0.75869,0.8334,0.7275,0.53004,0.44968,0.88747,0.000423049,0.000423049,0.000423049
56,802.42,0.50226,0.47006,0.93576,0.89702,0.74746,0.83279,0.72195,0.53772,0.46001,0.89219,0.000414049,0.000414049,0.000414049
57,816.669,0.50318,0.47741,0.93706,0.91602,0.73635,0.83755,0.72702,0.52915,0.44454,0.88549,0.00040505,0.00040505,0.00040505
58,830.697,0.49919,0.46284,0.92869,0.9209,0.74793,0.8387,0.72728,0.52355,0.44682,0.88654,0.000396051,0.000396051,0.000396051
59,844.76,0.50313,0.4706,0.93567,0.90471,0.75698,0.8419,0.73141,0.52464,0.43742,0.88662,0.000387052,0.000387052,0.000387052
60,858.828,0.4978,0.46048,0.93384,0.92381,0.74715,0.84006,0.73249,0.5227,0.42825,0.88569,0.000378053,0.000378053,0.000378053
61,872.952,0.49596,0.4616,0.93057,0.90503,0.75632,0.83757,0.73001,0.52178,0.43562,0.88355,0.000369054,0.000369054,0.000369054
62,887.091,0.49625,0.45225,0.9325,0.91764,0.74987,0.83891,0.73216,0.52343,0.43802,0.88743,0.000360055,0.000360055,0.000360055
63,901.183,0.4875,0.45043,0.92966,0.9005,0.76764,0.8435,0.73378,0.52064,0.4308,0.88578,0.000351056,0.000351056,0.000351056
64,915.267,0.48825,0.44703,0.93137,0.935,0.73329,0.83778,0.73153,0.51033,0.42962,0.87855,0.000342057,0.000342057,0.000342057
65,929.278,0.48891,0.43994,0.93149,0.9208,0.74959,0.83975,0.73289,0.51924,0.42739,0.88512,0.000333058,0.000333058,0.000333058
66,943.313,0.47821,0.44383,0.92884,0.91867,0.75096,0.83847,0.73389,0.52025,0.4362,0.88769,0.000324058,0.000324058,0.000324058
67,957.317,0.48524,0.43343,0.92726,0.9058,0.7623,0.83967,0.73387,0.51533,0.43722,0.88088,0.000315059,0.000315059,0.000315059
68,971.352,0.48338,0.43521,0.92772,0.91728,0.75553,0.83917,0.7341,0.51114,0.4284,0.88179,0.00030606,0.00030606,0.00030606
69,985.354,0.48391,0.43233,0.92852,0.93017,0.74396,0.83724,0.73181,0.51975,0.43938,0.88694,0.000297061,0.000297061,0.000297061
70,999.73,0.4756,0.43017,0.92625,0.92062,0.76069,0.84098,0.73405,0.51306,0.4203,0.88166,0.000288062,0.000288062,0.000288062
