epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4796,0.73995,2.44293,1.07232,0.3332,0.45231,0.39158,0.32646,0.68609,1.8455,0.95021,0.000301557,0.000301557,0.000301557
2,33.3793,0.7284,1.52411,1.06207,0.76072,0.52623,0.62635,0.51837,0.70772,1.25801,0.95759,0.000598572,0.000598572,0.000598572
3,47.6914,0.73026,1.32935,1.04442,0.78931,0.53433,0.62751,0.50721,0.77957,1.1525,0.97793,0.000889588,0.000889588,0.000889588
4,61.9198,0.72616,1.23621,1.04136,0.81518,0.59617,0.70375,0.59301,0.64868,0.91487,0.93255,0.000882003,0.000882003,0.000882003
5,76.2584,0.70606,1.11819,1.03475,0.83622,0.61306,0.71719,0.60856,0.64069,0.8977,0.93383,0.000873004,0.000873004,0.000873004
6,90.7258,0.67947,1.05087,1.01939,0.70486,0.60406,0.6723,0.56125,0.65158,1.19679,0.93032,0.000864004,0.000864004,0.000864004
7,104.996,0.65828,0.974,1.01161,0.7681,0.61757,0.69801,0.58988,0.62953,0.92295,0.9298,0.000855005,0.000855005,0.000855005
8,119.25,0.65275,0.92321,1.00459,0.86888,0.66945,0.76716,0.64388,0.626,0.70947,0.92666,0.000846006,0.000846006,0.000846006
9,133.529,0.64667,0.88718,1.00006,0.85079,0.68947,0.76585,0.64483,0.62991,0.69218,0.92458,0.000837007,0.000837007,0.000837007
10,147.993,0.6419,0.87019,0.99451,0.84692,0.67707,0.76153,0.65246,0.61224,0.68082,0.92053,0.000828008,0.000828008,0.000828008
11,162.329,0.63542,0.83173,0.99587,0.86472,0.67838,0.77165,0.65052,0.61685,0.65909,0.91806,0.000819009,0.000819009,0.000819009
12,176.602,0.61413,0.79712,0.98868,0.9062,0.69162,0.78886,0.66684,0.59826,0.60949,0.91172,0.00081001,0.00081001,0.00081001
13,191.204,0.62139,0.794,0.98782,0.88286,0.67087,0.7671,0.65925,0.59767,0.66832,0.92456,0.000801011,0.000801011,0.000801011
14,205.736,0.61518,0.7677,0.98573,0.86417,0.68614,0.78784,0.66786,0.60227,0.64555,0.91665,0.000792012,0.000792012,0.000792012
15,220.188,0.59905,0.74791,0.98291,0.8987,0.70037,0.79132,0.67094,0.58902,0.59151,0.90791,0.000783013,0.000783013,0.000783013
16,234.744,0.59676,0.71504,0.98104,0.88237,0.67025,0.77575,0.65961,0.59212,0.62942,0.90454,0.000774013,0.000774013,0.000774013
