epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8314,0.70419,2.51581,1.1287,0.56249,0.531,0.53405,0.45122,0.71205,1.51718,1.1186,0.000301557,0.000301557,0.000301557
2,55.8443,0.69231,1.60648,1.10728,0.63272,0.45599,0.54848,0.45608,0.68357,1.49616,1.10018,0.000580617,0.000580617,0.000580617
3,81.4278,0.70253,1.36526,1.10189,0.75441,0.55802,0.64852,0.5419,0.70949,1.21297,1.12085,0.000835679,0.000835679,0.000835679
4,106.729,0.69628,1.2206,1.09821,0.83591,0.54746,0.67028,0.55677,0.70744,1.16698,1.11665,0.000801011,0.000801011,0.000801011
5,131.992,0.67978,1.10709,1.09228,0.81423,0.60301,0.70741,0.60569,0.64571,1.00693,1.05745,0.000765014,0.000765014,0.000765014
6,157.395,0.65683,1.00014,1.07778,0.86002,0.59792,0.69941,0.5931,0.66751,0.99299,1.06736,0.000729018,0.000729018,0.000729018
7,182.971,0.63167,0.90893,1.06265,0.82327,0.67527,0.75206,0.6445,0.62358,0.85272,1.03835,0.000693022,0.000693022,0.000693022
8,208.437,0.62819,0.87029,1.0623,0.8648,0.6584,0.77065,0.66379,0.59994,0.78222,1.0282,0.000657025,0.000657025,0.000657025
9,233.868,0.60965,0.82495,1.0514,0.85544,0.67359,0.76747,0.65438,0.62203,0.79261,1.04269,0.000621029,0.000621029,0.000621029
10,259.363,0.60637,0.79404,1.04515,0.86517,0.66975,0.78181,0.66795,0.61566,0.76207,1.04486,0.000585032,0.000585032,0.000585032
11,284.86,0.59581,0.74433,1.04227,0.88257,0.70804,0.80157,0.69747,0.57154,0.65964,1.00558,0.000549036,0.000549036,0.000549036
12,310.284,0.57545,0.70936,1.03343,0.86359,0.73126,0.81195,0.70931,0.56625,0.64646,1.00363,0.00051304,0.00051304,0.00051304
13,335.607,0.57356,0.70259,1.0268,0.89073,0.70158,0.81361,0.6995,0.5808,0.65239,1.01327,0.000477043,0.000477043,0.000477043
14,361.003,0.56467,0.67229,1.02546,0.89674,0.72578,0.81808,0.71133,0.558,0.62891,0.99722,0.000441047,0.000441047,0.000441047
15,386.495,0.5444,0.63531,1.01709,0.87714,0.76426,0.83389,0.72798,0.54472,0.58454,0.99121,0.00040505,0.00040505,0.00040505
16,428.978,0.50016,0.57611,0.99191,0.85663,0.74235,0.82258,0.71658,0.55653,0.60998,0.99625,0.000369054,0.000369054,0.000369054
17,454.01,0.48145,0.51036,0.97742,0.92687,0.71171,0.81634,0.70602,0.56092,0.62786,1.00712,0.000333058,0.000333058,0.000333058
18,479.238,0.47358,0.49923,0.97363,0.89757,0.75692,0.84241,0.73303,0.53451,0.56282,0.98405,0.000297061,0.000297061,0.000297061
19,504.401,0.45964,0.47117,0.96513,0.88233,0.75495,0.82821,0.71871,0.54528,0.57766,0.99107,0.000261065,0.000261065,0.000261065
20,529.627,0.44792,0.44534,0.95892,0.90126,0.76083,0.84274,0.73385,0.5362,0.54976,0.98263,0.000225068,0.000225068,0.000225068
21,554.941,0.44176,0.42579,0.95686,0.92433,0.74993,0.84371,0.7398,0.5322,0.536,0.98122,0.000189072,0.000189072,0.000189072
22,580.17,0.43297,0.40734,0.94787,0.89794,0.77284,0.84498,0.73801,0.52447,0.54115,0.97449,0.000153076,0.000153076,0.000153076
23,605.352,0.42105,0.37788,0.94146,0.90118,0.77053,0.84514,0.74523,0.52312,0.54356,0.97736,0.000117079,0.000117079,0.000117079
24,630.651,0.41011,0.37185,0.9333,0.90205,0.77849,0.85424,0.75541,0.51257,0.51221,0.96889,8.10828e-05,8.10828e-05,8.10828e-05
25,655.921,0.39879,0.35714,0.92505,0.90694,0.77944,0.85547,0.75434,0.50428,0.49379,0.96408,4.50864e-05,4.50864e-05,4.50864e-05
