epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7296,0.70419,2.51581,1.1287,0.56249,0.531,0.53405,0.45122,0.71205,1.51718,1.1186,0.000301557,0.000301557,0.000301557
2,55.8457,0.69621,1.62509,1.11049,0.71442,0.49153,0.5947,0.50695,0.67159,1.38443,1.09178,0.000596577,0.000596577,0.000596577
3,83.1496,0.71227,1.39037,1.10643,0.78902,0.47306,0.58923,0.47952,0.77809,1.50446,1.16378,0.000883598,0.000883598,0.000883598
4,114.17,0.70648,1.23205,1.10668,0.76865,0.55535,0.64933,0.54653,0.70578,1.14665,1.10765,0.000873004,0.000873004,0.000873004
5,145.307,0.70588,1.11233,1.10614,0.83483,0.54722,0.67528,0.578,0.67101,1.09871,1.08385,0.000861005,0.000861005,0.000861005
6,176.466,0.67148,1.03652,1.09096,0.72641,0.58359,0.66891,0.56837,0.64819,1.17313,1.06775,0.000849006,0.000849006,0.000849006
7,207.791,0.64649,0.93956,1.07415,0.87342,0.61312,0.73168,0.62896,0.636,0.86142,1.06691,0.000837007,0.000837007,0.000837007
8,233.703,0.64606,0.89958,1.07426,0.86633,0.65274,0.75257,0.64523,0.63061,0.81062,1.05198,0.000825008,0.000825008,0.000825008
9,259.174,0.6309,0.86706,1.06516,0.85691,0.64689,0.74217,0.6318,0.62053,0.84827,1.04499,0.00081301,0.00081301,0.00081301
10,284.447,0.62722,0.84694,1.05779,0.88103,0.65372,0.76234,0.64739,0.63955,0.81799,1.06048,0.000801011,0.000801011,0.000801011
11,309.819,0.62197,0.80503,1.05716,0.86302,0.66032,0.77253,0.67058,0.60064,0.74252,1.03686,0.000789012,0.000789012,0.000789012
12,335.142,0.607,0.77372,1.05222,0.88655,0.65591,0.77982,0.67337,0.59949,0.74208,1.03751,0.000777013,0.000777013,0.000777013
13,360.494,0.60552,0.76264,1.04498,0.85124,0.68281,0.78188,0.67262,0.59616,0.74763,1.02931,0.000765014,0.000765014,0.000765014
14,385.949,0.59832,0.7467,1.0448,0.90475,0.67436,0.78453,0.67044,0.6154,0.72184,1.04428,0.000753016,0.000753016,0.000753016
15,411.378,0.58141,0.70683,1.03859,0.86091,0.72472,0.79817,0.69089,0.58335,0.67059,1.02399,0.000741017,0.000741017,0.000741017
16,436.702,0.57994,0.67774,1.0349,0.87653,0.71976,0.79892,0.68527,0.58879,0.66215,1.02341,0.000729018,0.000729018,0.000729018
17,462.195,0.58023,0.67382,1.03333,0.87974,0.72388,0.81323,0.69767,0.58617,0.63286,1.02883,0.000717019,0.000717019,0.000717019
18,487.461,0.57255,0.65794,1.02726,0.88157,0.71654,0.8122,0.70199,0.57338,0.63906,1.01124,0.00070502,0.00070502,0.00070502
19,513.296,0.56497,0.65592,1.02632,0.86629,0.71944,0.80888,0.69445,0.57133,0.65412,1.01549,0.000693022,0.000693022,0.000693022
20,538.868,0.56602,0.64978,1.02362,0.88803,0.70963,0.80513,0.69812,0.56464,0.63018,1.00974,0.000681023,0.000681023,0.000681023
21,564.614,0.56803,0.64103,1.0261,0.89687,0.71283,0.82232,0.71151,0.56774,0.61007,1.01836,0.000669024,0.000669024,0.000669024
22,590.317,0.56004,0.62953,1.02289,0.84726,0.7472,0.8211,0.71693,0.55549,0.60215,0.99854,0.000657025,0.000657025,0.000657025
23,616.041,0.55509,0.61539,1.01871,0.8585,0.72542,0.8068,0.70503,0.56001,0.63906,1.01007,0.000645026,0.000645026,0.000645026
24,641.569,0.54399,0.60356,1.01526,0.90499,0.72243,0.82635,0.71715,0.56052,0.58336,1.00458,0.000633028,0.000633028,0.000633028
25,666.98,0.54011,0.58758,1.01012,0.89616,0.74072,0.83277,0.72673,0.55553,0.58366,1.00807,0.000621029,0.000621029,0.000621029
26,692.205,0.55003,0.58855,1.01503,0.88734,0.73408,0.81346,0.70873,0.55493,0.60032,1.00553,0.00060903,0.00060903,0.00060903
27,717.631,0.54498,0.57352,1.01309,0.9029,0.73306,0.82855,0.72235,0.55355,0.57848,1.00569,0.000597031,0.000597031,0.000597031
28,742.924,0.53964,0.56694,1.01007,0.91209,0.72769,0.83486,0.72519,0.55455,0.56007,1.00176,0.000585032,0.000585032,0.000585032
29,768.121,0.52139,0.54944,0.99966,0.91967,0.73075,0.83695,0.73304,0.55355,0.56337,1.0065,0.000573034,0.000573034,0.000573034
30,793.364,0.52635,0.54863,1.0051,0.8894,0.75323,0.83595,0.72617,0.55005,0.58376,0.99678,0.000561035,0.000561035,0.000561035
31,818.832,0.51917,0.53653,0.99904,0.90088,0.75226,0.83549,0.72927,0.55215,0.56379,0.99816,0.000549036,0.000549036,0.000549036
32,848.285,0.5277,0.54111,1.00254,0.90926,0.74321,0.83588,0.7289,0.54606,0.55008,0.99595,0.000537037,0.000537037,0.000537037
33,879.628,0.51226,0.52171,0.99407,0.92124,0.73645,0.83365,0.72887,0.54751,0.54478,1.00182,0.000525038,0.000525038,0.000525038
34,910.691,0.51684,0.52002,0.99478,0.90462,0.74779,0.83225,0.72752,0.53973,0.55703,0.99576,0.00051304,0.00051304,0.00051304
35,941.994,0.52254,0.50962,0.99646,0.91921,0.74423,0.83253,0.73491,0.53984,0.563,0.99247,0.000501041,0.000501041,0.000501041
36,973.208,0.50539,0.50424,0.99093,0.89098,0.76725,0.8351,0.73578,0.54367,0.54721,0.99545,0.000489042,0.000489042,0.000489042
37,1004.11,0.50773,0.51031,0.99039,0.91138,0.7543,0.83687,0.73754,0.53483,0.54294,0.98711,0.000477043,0.000477043,0.000477043
38,1029.45,0.50063,0.49666,0.9896,0.9095,0.75291,0.83729,0.73442,0.53166,0.5481,0.99236,0.000465044,0.000465044,0.000465044
39,1054.65,0.50057,0.49495,0.98715,0.92285,0.74514,0.83972,0.73958,0.53064,0.5328,0.98678,0.000453046,0.000453046,0.000453046
40,1080.08,0.49639,0.47226,0.98354,0.90979,0.76739,0.84465,0.74329,0.5275,0.53337,0.98463,0.000441047,0.000441047,0.000441047
41,1105.3,0.49652,0.48607,0.98832,0.9091,0.75032,0.83901,0.73946,0.53587,0.55431,0.98438,0.000429048,0.000429048,0.000429048
42,1130.57,0.50138,0.4805,0.99228,0.91745,0.75572,0.84333,0.73999,0.53286,0.52423,0.98981,0.000417049,0.000417049,0.000417049
43,1155.85,0.48249,0.46582,0.97985,0.91584,0.76473,0.84195,0.73923,0.53673,0.54398,0.99386,0.00040505,0.00040505,0.00040505
44,1181.25,0.48766,0.46419,0.98024,0.92034,0.75499,0.83756,0.73803,0.53658,0.5448,0.99236,0.000393052,0.000393052,0.000393052
45,1206.68,0.48493,0.45885,0.97884,0.91755,0.77009,0.84521,0.74458,0.53516,0.52157,0.98952,0.000381053,0.000381053,0.000381053
46,1231.92,0.47451,0.44712,0.97491,0.90981,0.76122,0.84297,0.74587,0.51674,0.52684,0.9774,0.000369054,0.000369054,0.000369054
47,1257.15,0.47924,0.44862,0.97479,0.88418,0.78108,0.84515,0.74245,0.53616,0.53471,0.99141,0.000357055,0.000357055,0.000357055
